id,name,weight,height,armSpan,legSwing,weightCategory.id,weightCategory.name,dateOfBirth,country,city,timezone
104,Thibault Gouti,70.31,177.8,182.88,105.41,5,Легкий вес,1987-02-27,France,,Europe/Paris
105,Hakeem Dawodu,65.77,172.72,185.42,102.87,4,Полулегкий вес,1991-07-02,Canada,,America/Montreal
106,Rolando Dy,65.77,172.72,175.26,92.71,4,Полулегкий вес,1990-08-11,Philippines,,Asia/Manila
107,Jarjis Danho,120.2,190.5,187.96,106.68,9,Тяжелый вес,1983-10-15,Syria,Al-Malikiyah,Asia/Damascus
108,Joe Duffy,70.31,177.8,185.42,104.14,5,Легкий вес,1988-02-18,Ireland,Donegal,Europe/Dublin
109,Mark De La Rosa,61.24,167.64,165.1,96.52,2,Наилегчайший вес,1994-08-31,USA,Lubbock,America/Chicago
110,Evan Dunham,70.31,177.8,177.8,96.52,5,Легкий вес,1981-12-18,USA,Eugene,America/Los_Angeles
111,Todd Duffee,117.93,190.5,198.12,101.7,9,Тяжелый вес,1985-12-06,USA,Evansville,America/Chicago
112,Merab Dvalishvili,61.24,167.64,172.72,96.52,3,Легчайший вес,1991-01-10,USA,,Asia/Tbilisi
113,Geraldo de Freitas,61.24,170.18,182.88,101.7,4,Полулегкий вес,1991-09-30,Brazil,,America/Sao_Paulo
114,Chris de la Rocha,113.4,190.5,203.2,106.68,9,Тяжелый вес,1979-05-15,USA,San Jose,America/Los_Angeles
115,Marcos Rogerio de Lima,114.76,185.42,190.5,101.7,8,Полутяжелый вес,1985-06-25,Brazil,Sao Paulo,America/Sao_Paulo
116,Trevin Giles,83.91,182.88,187.96,104.14,7,Средний вес,1992-08-06,USA,San Antonio,America/Chicago
117,Chanmi Jeon,52.16,165.1,170.18,99.06,10,Женский минимальный вес,1997-08-28,,,
118,Mike Jackson,77.11,187.96,187.96,106.68,6,Полусредний вес,1985-03-22,USA,,America/New_York
119,Montel Jackson,61.24,177.8,190.5,104.14,3,Легчайший вес,1992-04-24,USA,,America/New_York
120,Jingliang Li,77.11,182.88,180.34,102.87,6,Полусредний вес,1988-03-20,China,Tacheng,Asia/Shanghai
121,Michael Johnson,65.77,177.8,185.42,104.14,4,Полулегкий вес,1986-06-04,USA,St. Louis,America/New_York
122,Jon Jones,92.99,193.04,213.36,114.3,8,Полутяжелый вес,1987-07-19,USA,Rochester,America/Indiana/Indianapolis
123,Kajan Johnson,70.31,180.34,190.5,109.22,5,Легкий вес,1984-04-21,Canada,Burns Lake,America/Vancouver
124,Jordan Johnson,92.99,187.96,187.96,104.14,8,Полутяжелый вес,1988-11-18,USA,Richmond,Australia/Brisbane
125,Alan Jouban,77.11,182.88,185.42,104.14,6,Полусредний вес,1981-11-25,USA,,America/New_York
126,Luke Jumeau,77.11,180.34,182.88,102.87,6,Полусредний вес,1988-02-12,New Zealand,,Pacific/Auckland
127,Alessio Di Chirico,83.91,182.88,187.96,114.3,7,Средний вес,1989-12-12,Italy,Rome,America/Los_Angeles
128,Nick Diaz,83.91,185.42,193.04,101.7,7,Средний вес,1983-08-02,USA,Stockton,America/New_York
129,Nate Diaz,77.11,182.88,193.04,96.52,5,Легкий вес,1985-04-16,USA,Stockton,America/New_York
130,CB Dollaway,83.91,187.96,193.04,107.95,7,Средний вес,1983-08-10,,,
131,Marc Diakiese,70.31,177.8,185.42,99.06,5,Легкий вес,1993-03-16,Democratic Republic of Congo,,
132,Drew Dober,70.31,172.72,177.8,88.9,6,Полусредний вес,1988-10-19,USA,,America/New_York
133,Shana Dobson,56.7,167.64,175.26,96.52,11,Женский наилегчайший вес,1989-03-30,USA,,America/New_York
134,John Dodson,61.24,160.02,167.64,88.9,3,Легчайший вес,1984-09-26,USA,Albuquerque,America/Denver
135,Alexis Davis,56.7,167.64,172.72,93.98,11,Женский наилегчайший вес,1984-10-04,Canada,Port Colborne,America/Montreal
136,Elizeu Zaleski dos Santos,77.11,180.34,185.42,104.14,6,Полусредний вес,1986-12-11,Brasil,Francisco Beltrao,America/Sao_Paulo
137,Brandon Davis,61.24,177.8,182.88,99.06,4,Полулегкий вес,1990-05-08,USA,,America/New_York
138,Tom Duquesnoy,61.24,170.18,172.72,95.25,3,Легчайший вес,1993-06-21,France,Lyon,Europe/Paris
139,Blagoy Ivanov,113.4,180.34,185.42,106.68,9,Тяжелый вес,1986-10-09,Bulgaria,,Europe/Sofia
140,Weili Zhang,52.16,162.56,160.02,91.44,10,Женский минимальный вес,1989-08-13,China,,Asia/Shanghai
141,David Zawada,77.11,182.88,190.5,101.7,6,Полусредний вес,1990-08-01,Germany,,Europe/Berlin
142,Aiemann Zahabi,61.24,172.72,172.72,96.52,3,Легчайший вес,1987-11-19,Canada,Laval,Europe/Paris
143,Dan Ige,65.77,170.18,180.34,96.52,4,Полулегкий вес,1991-08-06,USA,,America/New_York
144,Teruto Ishihara,61.24,170.18,175.26,93.98,3,Легчайший вес,1991-07-23,Japan,Oshima,Asia/Tokyo
145,Ashley Yoder,52.16,170.18,175.26,93.98,10,Женский минимальный вес,1987-10-20,USA,,America/New_York
146,Naoki Inoue,56.7,175.26,180.34,96.52,2,Наилегчайший вес,1997-06-14,Japan,Toyohashi,Asia/Tokyo
147,Joanne Calderwood,56.7,167.64,165.1,97.79,11,Женский наилегчайший вес,1985-12-23,Scotland,Irvine,
148,Frank Camacho,77.11,177.8,185.42,96.52,6,Полусредний вес,1989-05-18,Northern Mariana Islands,Saipan,Pacific/Saipan
149,Zak Cummings,83.91,182.88,190.5,101.6,6,Полусредний вес,1984-08-02,USA,Kansas City,America/Chicago
150,Patrick Cummins,92.99,187.96,193.04,109.22,8,Полутяжелый вес,1980-11-16,USA,,America/New_York
151,Kyung Ho Kang,61.24,175.26,185.42,99.06,3,Легчайший вес,1987-09-09,South Korea,,Asia/Seoul
152,Guido Cannetti,61.24,167.64,172.72,97.79,3,Легчайший вес,1979-12-19,Argentina,Buenos Aires,America/Costa_Rica
153,Nadia Kassem,56.7,165.1,167.64,97.79,10,Женский минимальный вес,1995-11-15,Australia,Sydney,Australia/Sydney
154,Jared Cannonier,83.91,180.34,195.58,105.41,8,Полутяжелый вес,1984-03-16,USA,,America/New_York
155,Bryan Caraway,61.24,172.72,172.72,100.33,3,Легчайший вес,1984-08-04,USA,Yakima,America/Los_Angeles
156,Alex Caceres,65.77,177.8,185.42,104.14,4,Полулегкий вес,1988-06-20,USA,Miami,America/New_York
157,Brad Katona,61.24,167.64,162.56,91.44,4,Полулегкий вес,1991-12-19,Canada,Winnipeg,America/Winnipeg
158,Michael Chiesa,77.11,185.42,190.5,109.22,5,Легкий вес,1987-12-07,USA,,America/New_York
159,Priscila Cachoeira,56.7,170.18,165.1,93.98,11,Женский наилегчайший вес,1988-08-19,Brazil,Rio de Janeiro,America/Sao_Paulo
160,Kenan Song,77.11,182.88,180.34,104.14,6,Полусредний вес,1990-03-10,China,Tangshan,Asia/Shanghai
161,Pannie Kianzad,61.24,170.18,167.64,101.7,13,Женский полулегкий вес,1991-12-08,Iran,Ahvaz,Asia/Tehran
162,Dong Hyun Kim,77.11,187.96,193.04,107.95,6,Полусредний вес,1981-11-17,South Korea,Suwon,Asia/Seoul
163,Ji Yeon Kim,56.7,170.18,182.88,95.25,11,Женский наилегчайший вес,1989-10-18,South Korea,,Asia/Seoul
164,Justine Kish,56.7,165.1,162.56,91.44,11,Женский наилегчайший вес,1988-04-13,Russia,St. Petersburg,Europe/Moscow
165,Devin Clark,92.99,182.88,190.5,104.14,8,Полутяжелый вес,1990-04-12,USA,,America/New_York
166,Drakkar Klose,70.31,175.26,177.8,99.06,5,Легкий вес,1988-03-09,USA,South Haven,America/New_York
167,Karolina Kowalkiewicz,52.16,160.02,162.56,96.52,10,Женский минимальный вес,1985-10-15,Poland,,Europe/Warsaw
168,Jake Collier,92.99,190.5,198.12,110.49,8,Полутяжелый вес,1988-10-25,USA,St. Louis,America/New_York
169,Syuri Kondo,52.16,162.56,167.64,101.6,10,Женский минимальный вес,1989-02-08,Japan,Ebina,Asia/Tokyo
170,Daniel Cormier,106.59,180.34,182.88,105.41,8,Полутяжелый вес,1979-03-20,USA,Lafayette,America/Indiana/Indianapolis
171,Rashad Coulter,92.99,180.34,193.04,105.41,9,Тяжелый вес,1981-11-27,USA,,America/New_York
172,Paulo Costa,83.91,185.42,182.88,100.33,7,Средний вес,1991-04-21,Brazil,Belo Horizonte,America/Sao_Paulo
173,Erik Koch,77.11,177.8,180.34,101.6,5,Легкий вес,1988-10-04,USA,Cedar Rapids,America/Chicago
174,Allen Crowder,111.13,190.5,193.04,101.7,9,Тяжелый вес,1989-11-08,USA,,America/New_York
175,Pascal Krauss,77.11,185.42,182.88,101.7,6,Полусредний вес,1987-04-19,Germany,Breisach,Europe/Berlin
176,James Krause,77.11,187.96,185.42,102.87,6,Полусредний вес,1986-06-04,USA,,America/New_York
177,Paul Craig,92.99,190.5,193.04,109.22,8,Полутяжелый вес,1987-11-27,Scotland,Airdrie,
178,Nikita Krylov,92.99,190.5,195.58,113.03,8,Полутяжелый вес,1992-03-07,Ukraine,Donetsk,Europe/Kiev
179,Jose Quinonez,61.24,172.72,175.26,100.33,3,Легчайший вес,1990-07-28,Mexico,Tlaltenango,America/Mexico_City
180,Aleksei Kunchenko,77.11,172.72,177.8,101.7,6,Полусредний вес,1984-05-02,,,
181,Amanda Cooper,52.16,160.02,162.56,91.44,10,Женский минимальный вес,1991-10-22,USA,Lansing,America/Detroit
182,Yana Kunitskaya,61.24,167.64,172.72,101.6,13,Женский полулегкий вес,1989-11-11,Russia,Murmansk,Europe/Moscow
183,Ion Cutelaba,92.99,185.42,190.5,104.14,8,Полутяжелый вес,1993-12-14,Moldova,Chișinău,Europe/Chisinau
184,Bharat Kandare,61.24,170.18,182.88,101.6,3,Легчайший вес,1987-06-20,,,
185,Joe Lauzon,70.31,177.8,180.34,102.87,5,Легкий вес,1984-05-22,USA,Brockton,America/New_York
186,Lina Lansberg,61.24,170.18,165.1,99.06,12,Женский легчайший вес,1982-03-13,Sweden,Karlstad,Europe/Stockholm
187,Chad Laprise,77.11,177.8,180.34,101.6,6,Полусредний вес,1986-07-23,Canada,,America/Montreal
188,Ilir Latifi,92.99,177.8,185.42,104.14,8,Полутяжелый вес,1983-07-28,Sweden,Malmo,Europe/Stockholm
189,Amanda Lemos,61.24,162.56,165.1,91.44,12,Женский легчайший вес,1987-05-22,,,
190,Ryan LaFlare,77.11,185.42,187.96,107.95,6,Полусредний вес,1983-10-01,USA,Lindenhurst,
191,Nik Lentz,70.31,172.72,172.72,99.06,5,Легкий вес,1984-08-13,USA,El Paso,America/Denver
192,Leah Letson,65.77,170.18,180.34,101.7,13,Женский полулегкий вес,1992-08-21,USA,Janesville,America/Chicago
193,Kevin Lee,77.11,175.26,195.58,99.06,5,Легкий вес,1992-09-04,USA,Detroit,America/Detroit
194,Andrea Lee,56.7,167.64,175.26,93.98,11,Женский наилегчайший вес,1989-02-11,USA,Atlanta,America/New_York
195,Dhiego Lima,77.11,187.96,190.5,107.95,6,Полусредний вес,1989-01-31,Brazil,Goiania,America/Sao_Paulo
196,John Lineker,61.24,160.02,170.18,91.44,3,Легчайший вес,1990-06-12,Brazil,Paranagua,America/Sao_Paulo
197,Hector Lombard,83.91,175.26,180.34,97.79,7,Средний вес,1978-02-02,Cuba,,America/Havana
198,Benito Lopez,61.24,177.8,185.42,104.14,3,Легчайший вес,1994-04-06,USA,Oroville,America/Los_Angeles
199,Artem Lobov,65.77,175.26,165.1,96.52,4,Полулегкий вес,1986-08-11,Russia,Nizhny Novgorod,Europe/Moscow
200,Derrick Lewis,117.93,190.5,190.5,109.22,9,Тяжелый вес,1985-02-07,USA,,America/New_York
201,Bevon Lewis,83.91,190.5,190.5,101.7,7,Средний вес,1991-05-05,USA,Long Beach,America/Los_Angeles
202,Zabit Magomedsharipov,65.77,185.42,185.42,106.68,4,Полулегкий вес,1991-03-01,Russia,,Europe/Moscow
203,Aspen Ladd,61.24,167.64,167.64,97.79,12,Женский легчайший вес,1995-03-01,USA,Pioneer,
204,Liu Pingyuan,61.24,167.64,182.88,101.7,3,Легчайший вес,1993-02-13,,,
205,Vicente Luque,77.11,180.34,190.5,96.52,6,Полусредний вес,1991-11-27,USA,Westwood,
206,Ruslan Magomedov,109.77,190.5,198.12,101.7,9,Тяжелый вес,1986-11-26,Russia,,Europe/Moscow
207,Jennifer Maia,56.7,162.56,162.56,96.52,11,Женский наилегчайший вес,1988-10-06,Brazil,Curitiba,America/Sao_Paulo
208,Sabina Mazo,56.7,170.18,177.8,101.7,11,Женский наилегчайший вес,1997-03-25,Colombia,Medellín,America/Bogota
209,Adam Milstead,92.99,190.5,193.04,106.68,8,Полутяжелый вес,1987-07-03,USA,Calvert,America/New_York
210,Court McGee,77.11,180.34,190.5,105.41,6,Полусредний вес,1984-12-12,USA,Ogden,America/Denver
211,Conor McGregor,70.31,175.26,187.96,101.6,5,Легкий вес,1988-07-14,Ireland,Dublin,America/New_York
212,Marcos Mariano,70.31,185.42,193.04,101.7,5,Легкий вес,1986-10-12,Brazil,,America/Sao_Paulo
213,John Makdessi,70.31,172.72,172.72,96.52,5,Легкий вес,1985-05-03,Canada,Halifax,America/Halifax
214,Molly McCann,56.7,162.56,157.48,93.98,11,Женский наилегчайший вес,1990-05-04,England,Liverpool,Europe/London
215,Julian Marquez,83.91,187.96,190.5,104.14,7,Средний вес,1990-05-08,USA,Kansas City,America/Chicago
216,Randa Markos,52.16,162.56,160.02,99.06,10,Женский минимальный вес,1985-08-10,Iraq,,Asia/Baghdad
217,Anthony Rocco Martin,77.11,182.88,185.42,104.14,5,Легкий вес,1989-12-11,USA,Palos Heights,America/New_York
218,Jack Marshman,83.91,182.88,185.42,99.06,6,Полусредний вес,1989-12-19,Wales,,
219,Islam Makhachev,70.31,177.8,177.8,102.87,5,Легкий вес,1991-10-27,Russia,Dagestan,Europe/Moscow
220,Gray Maynard,70.31,175.26,177.8,99.06,4,Полулегкий вес,1979-05-09,USA,Phoenix,America/Phoenix
221,Veronica Macedo,56.7,162.56,162.56,96.52,11,Женский наилегчайший вес,1995-10-30,Venezuela,Caracas,America/Caracas
222,Jordan Mein,77.11,182.88,185.42,104.14,6,Полусредний вес,1989-10-10,Canada,,America/Montreal
223,Gerald Meerschaert,83.91,185.42,195.58,101.6,7,Средний вес,1987-12-18,USA,Racine,America/Chicago
224,Gilbert Melendez,65.77,175.26,185.42,101.6,5,Легкий вес,1982-04-12,USA,Santa Ana,Pacific/Guadalcanal
225,Chad Mendes,65.77,167.64,167.64,95.25,4,Полулегкий вес,1985-05-01,USA,Hanford,America/New_York
226,Alonzo Menifield,92.99,182.88,193.04,104.14,8,Полутяжелый вес,1987-10-18,USA,,America/New_York
227,Emil Meek,77.11,180.34,187.96,102.87,6,Полусредний вес,1988-08-20,,,
228,Curtis Millender,77.11,187.96,193.04,114.3,6,Полусредний вес,1987-12-01,USA,Anaheim,America/Los_Angeles
229,Jim Miller,70.31,172.72,180.34,101.6,5,Легкий вес,1983-08-30,USA,Sparta,America/Chicago
230,Alberto Mina,77.11,182.88,195.58,107.95,6,Полусредний вес,1982-05-02,Brazil,,America/Sao_Paulo
231,Tim Means,77.11,187.96,190.5,110.49,6,Полусредний вес,1984-02-20,USA,Wilburton,America/New_York
232,Bryce Mitchell,65.77,177.8,177.8,101.6,4,Полулегкий вес,1994-10-04,USA,Cabot,
233,Roxanne Modafferi,56.7,170.18,175.26,96.52,11,Женский наилегчайший вес,1982-09-24,USA,Wilmington,America/New_York
